algo,seed,greedy_mode_share_mean,greedy_unanimous_frac,greedy_all_actions_constant,greedy_action_spearman_mean,greedy_sinr_corr_mean,greedy_embb_p5_mbps,sampled_mode_share_mean,sampled_unanimous_frac,sampled_all_actions_constant,sampled_action_spearman_mean,sampled_sinr_corr_mean,sampled_embb_p5_mbps
ippo,51,1.0,1.0,0.0,0.9999999999999998,0.9999999999999984,3.8358570098876955e-05,0.3903,0.0015,0.0,-0.016207519589306284,0.43917607219260446,2.717090084850788e-06
ippo,52,0.5614999999999999,0.035500000000000004,0.0,0.02455716774045502,0.7909360872360289,2.0773738783597947e-06,0.36090000000000005,0.0,0.0,-0.007978553562722862,0.3276896031910549,4.140028083324433e-06
ippo,53,0.6468999999999998,0.0505,0.0,-0.06547309672790594,0.7116804496899367,1.9945335254073145e-06,0.36860000000000004,0.0,0.0,-0.01077565182477583,0.32036362535112356,3.5724223798513412e-06
ippo,54,0.9883999999999998,0.9505000000000001,0.0,0.9627739205123593,0.999570332559163,3.4894887399673467e-05,0.3845,0.0005,0.0,-0.012641720036241273,0.37651583242365166,2.9066762331128122e-06
ippo,55,1.0,1.0,0.0,0.9999999999999998,0.9999999999999984,3.8358570098876955e-05,0.36920000000000003,0.0,0.0,-0.011290182008260891,0.3320111030855112,3.2790999799966813e-06
ippo,56,0.7024999999999999,0.043,0.0,-0.06023841923562512,0.573040303971212,3.4454908668994905e-06,0.36460000000000004,0.0,0.0,-0.011940271889524977,0.32939368298680877,3.2888534793257713e-06
ippo,57,1.0,1.0,0.0,0.9999999999999998,0.9999999999999984,3.8358570098876955e-05,0.38739999999999997,0.0015,0.0,-0.014490280530863042,0.44708419109252634,2.9163452842831613e-06
ippo,58,0.9359999999999999,0.768,0.0,0.878875368355537,0.8816287990285577,3.51241973400116e-05,0.3766,0.0,0.0,-0.008467689827530009,0.3330186188733543,3.1890690052509308e-06
ippo,59,1.0,1.0,0.0,0.9999999999999998,0.9999999999999989,3.8358570098876955e-05,0.37190000000000006,0.0005,0.0,-0.013830830075763887,0.34902463112679105,2.909260889291763e-06
ippo,60,1.0,1.0,0.0,0.9999999999999998,0.9999999999999982,3.8358570098876955e-05,0.3677,0.0,0.0,-0.010583099392058726,0.33011644904401843,3.6885137459635746e-06
ippo,61,0.7438999999999999,0.267,0.0,0.14036690729769344,0.8244690045711154,1.0594860816001892e-05,0.37510000000000004,0.0,0.0,-0.010763749923703844,0.3306294911009056,3.27260279417038e-06
