grad_backbone_l2,grad_head_l2,n_backbone,n_head,algo,seed,backbone,update_idx,ratio_l2,rms_backbone,rms_head,ratio_rms
0.000728120492483604,0.49999949687368933,19392,18188,gnn-mappo,45,gat,10,0.001456242450314991,5.228678669594886e-06,0.0037074652967265718,0.0014103108865810387
0.00420161148579558,0.4999822577605808,19392,18188,gnn-mappo,45,gat,11,0.008403521166160149,3.0172034135131728e-05,0.0037073374697707533,0.00813846443199503
0.007525242986662458,0.4999432862631053,19392,18188,gnn-mappo,45,gat,12,0.015052193305586558,5.403923923864364e-05,0.0037070484985310716,0.0145774297962535
0.00037782587961615393,0.4999998318241753,19392,18188,gnn-mappo,45,gat,13,0.0007556520133971089,2.7131912066249043e-06,0.0037074677803636768,0.0007318178787675827
0.0011270415409636895,0.499998721921009,19392,18188,gnn-mappo,45,gat,14,0.0022540888437345688,8.093355599543015e-06,0.003707459550500452,0.002182992286038706
0.49930322737786104,0.02638678392225476,19392,18188,gnn-mappo,46,gat,0,18.922473797829753,0.003585527617476438,0.0001956563682476978,18.325637185175683
0.49841642910596534,0.0397633607957652,19392,18188,gnn-mappo,46,gat,1,12.534564964615534,0.003579159463776109,0.0002948428571494326,12.139210352184707
0.4595587423026352,0.19699194393966635,19392,18188,gnn-mappo,46,gat,2,2.3328808940704016,0.0033001199912770624,0.0014606830615981983,2.2592991443785584
0.4973254191521639,0.05164709844324757,19392,18188,gnn-mappo,46,gat,3,9.629300273250589,0.0035713248532512776,0.00038296003566446244,9.325581054573435
0.4698272727603906,0.1710623648657173,19392,18188,gnn-mappo,46,gat,4,2.7465262340386887,0.0033738589489451984,0.0012684168389790204,2.659897634015092
0.4820433149461872,0.13279405638204017,19392,18188,gnn-mappo,46,gat,5,3.630006704211059,0.003461583109799227,0.0009846597021123378,3.515512112837844
0.4900504578746475,0.09924982448351338,19392,18188,gnn-mappo,46,gat,6,4.93754483118558,0.0035190829025761494,0.0007359313004904585,4.781808981668358
0.49297723774224006,0.08350720984125469,19392,18188,gnn-mappo,46,gat,7,5.903409282616179,0.0035401002913493756,0.000619200788098247,5.717208956115988
0.496967705279515,0.05498272962648941,19392,18188,gnn-mappo,46,gat,8,9.038614646008543,0.003568756087621076,0.0004076935342617064,8.753526332184169
0.45059566155887953,0.2167106245492734,19392,18188,gnn-mappo,46,gat,9,2.079250440517409,0.003235755549426406,0.0016068958568399134,2.013668487383976
0.4775848716268388,0.1480292788026598,19392,18188,gnn-mappo,46,gat,10,3.226286552834692,0.0034295667502486824,0.0010976279326116317,3.1245257599162697
0.49938661413130137,0.024759181980882533,19392,18188,gnn-mappo,46,gat,11,20.16975417511354,0.003586126422953747,0.00018358780067462537,19.533576903127006
0.498920877397755,0.032832020225266316,19392,18188,gnn-mappo,46,gat,12,15.196167460137096,0.0035827819384220256,0.00024344739618278015,14.716862840184477
0.4958571361637061,0.06423144371290916,19392,18188,gnn-mappo,46,gat,13,7.719850395703457,0.003560781021533959,0.0004762721762986396,7.4763574248797235
0.4639035119245127,0.1865302202499277,19392,18188,gnn-mappo,46,gat,14,2.4870153013433356,0.003331320052916209,0.0013831100284928336,2.408571974961622
0.48774378378703537,0.11002741332620185,9344,18188,gnn-mappo,42,sage,0,4.432929658547962,0.005045745344891883,0.0008158464541386012,6.184675215901201
0.4953432570418959,0.06808159282303189,9344,18188,gnn-mappo,42,sage,1,7.27572955482208,0.005124362455091867,0.0005048207934517659,10.15085456376211
0.4008212745072401,0.29890185485167975,9344,18188,gnn-mappo,42,sage,2,1.3409795489764844,0.0041465255882412256,0.002216338738176276,1.8708898223983632
0.4930066167792212,0.08333366080422815,9344,18188,gnn-mappo,42,sage,3,5.916056153316227,0.005100189739580181,0.000617913932739233,8.25388370346477
0.3852546137995441,0.3187144757372288,9344,18188,gnn-mappo,42,sage,4,1.2087766421917272,0.0039854873373966725,0.0023632480947449476,1.6864447479124294
0.03658048340349341,0.49866011109098574,9344,18188,gnn-mappo,42,sage,5,0.07335754873888223,0.0003784277934081542,0.0036975338341164064,0.10234599881588007
0.3117044270258566,0.3909480023087294,9344,18188,gnn-mappo,42,sage,6,0.7973040536979273,0.003224605241375325,0.0028988552197490515,1.1123719526960276
0.23102156140091215,0.4434287032250617,9344,18188,gnn-mappo,42,sage,7,0.5209891910936073,0.002389935057618855,0.003287996366113727,0.7268666967669607
0.4009085277928626,0.2987848214268016,9344,18188,gnn-mappo,42,sage,8,1.341796835188564,0.00414742822990349,0.0022154709425804687,1.872030072790201
0.4755367706731226,0.1544823416079292,9344,18188,gnn-mappo,42,sage,9,3.078259726797891,0.004919462895700376,0.0011454769935761412,4.294685029283719
0.48203208956981514,0.1328347034376294,9344,18188,gnn-mappo,42,sage,10,3.628811425744224,0.004986657447791038,0.00098496109751164,5.062796348392945
0.045104948105593984,0.4979613853564993,9344,18188,gnn-mappo,42,sage,11,0.0905792084125209,0.0004666140082161725,0.0036923528260779273,0.12637308247484488
0.443668689648127,0.2305604029259263,9344,18188,gnn-mappo,42,sage,12,1.9243056657507118,0.004589785251766079,0.001709591105574866,2.684726913236204
0.45447663511929415,0.208449021772865,9344,18188,gnn-mappo,42,sage,13,2.1802771308493423,0.00470159424321147,0.0015456365840198615,3.0418497412785452
0.4911075871043242,0.09387941043813805,9344,18188,gnn-mappo,42,sage,14,5.231259813118874,0.005080544137810488,0.0006961100130156196,7.298478750220892
0.49653685696244365,0.058746521202815545,9344,18188,gnn-mappo,43,sage,0,8.452191666774748,0.005136710334127876,0.00043560181565116963,11.792215159730551
0.4776833434270024,0.14771121058689018,9344,18188,gnn-mappo,43,sage,1,3.233900402881122,0.00494166934884318,0.0010952694764945138,4.511829695701314
0.4971022541766482,0.053752626134791745,9344,18188,gnn-mappo,43,sage,2,9.24796219128158,0.005142559409926314,0.00039857239306983165,12.90244758378264
0.4362944229174337,0.24422767963866418,9344,18188,gnn-mappo,43,sage,3,1.7864249603604843,0.0045134979196355006,0.0018109331157769993,2.4923603640098757
0.48058073831650544,0.13799339469138674,9344,18188,gnn-mappo,43,sage,4,3.4826358130495523,0.004971643112245169,0.0010232124736018519,4.858857021889389
0.48986712756737627,0.10015081600355477,9344,18188,gnn-mappo,43,sage,5,4.891294420906054,0.0050677114925935995,0.0007426120967994241,6.824170403949619
0.244609499349992,0.4360805198323659,9344,18188,gnn-mappo,43,sage,6,0.560927370578311,0.002530503275876631,0.0032335100414419156,0.7825871091924015
0.07608644472888813,0.4941769537406286,9344,18188,gnn-mappo,43,sage,7,0.1539659916411693,0.0007871198712555802,0.003664291500073793,0.21480820268794903
0.4522451733431741,0.21324699939916103,9344,18188,gnn-mappo,43,sage,8,2.120757500069909,0.004678509606885119,0.0015812132909069421,2.9588099428393053
0.49775706243515383,0.04730710288335516,9344,18188,gnn-mappo,43,sage,9,10.521825098071858,0.005149333449559373,0.00035077923742995277,14.679698511482297
0.4931721169692139,0.08234838609660623,9344,18188,gnn-mappo,43,sage,10,5.988849816566577,0.005101901851227716,0.0006106081818153007,8.355442988104212
0.30430478063855776,0.39673492178808994,9344,18188,gnn-mappo,43,sage,11,0.7670229262073824,0.003148055354829028,0.0029417648692163594,1.0701247362667776
0.49578807231554106,0.06476262298979607,9344,18188,gnn-mappo,43,sage,12,7.655466215345492,0.00512896410183948,0.00048021083773272505,10.68065045357046
0.49688606861857054,0.05571533204278729,9344,18188,gnn-mappo,43,sage,13,8.918300410324768,0.005140322954415116,0.0004131257357973183,12.442514491367795
0.4911681783714366,0.09356176025952875,9344,18188,gnn-mappo,43,sage,14,5.249667994798268,0.00508117095892874,0.0006937546566181501,7.324161229703241
0.49238826556422444,0.08691238154100245,9344,18188,gnn-mappo,44,sage,0,5.665340850566056,0.005093792850745733,0.000644449925317678,7.904094097357178
0.498992897991623,0.03171924873204843,9344,18188,gnn-mappo,44,sage,1,15.731548442616537,0.005162118259357849,0.0002351962644914734,21.948130300959743
0.49662827128312714,0.05796856385450053,9344,18188,gnn-mappo,44,sage,2,8.567199845241124,0.0051376560220041285,0.0004298333101041731,11.95267072428375
0.4941069504087624,0.07653946927469228,9344,18188,gnn-mappo,44,sage,3,6.455583701991235,0.005111572771970625,0.0005675354234155902,9.006614496779285
0.4774819683198549,0.14836108406955875,9344,18188,gnn-mappo,44,sage,4,3.2183774560179716,0.0049395861085370155,0.0011000882481119283,4.4901725993480825
0.4988880729724118,0.0333263857351924,9344,18188,gnn-mappo,44,sage,5,14.969762305955365,0.005161033836818198,0.00024711308581528893,20.88531175834187
0.49179347774602533,0.09021742732708565,9344,18188,gnn-mappo,44,sage,6,5.45120263696963,0.005087639726985602,0.0006689566350896107,7.605335622845092
0.43961489163700346,0.2381990034877025,9344,18188,gnn-mappo,44,sage,7,1.8455782148547042,0.004547848412950949,0.0017662308555654457,2.5748890065081493
0.49843583252457474,0.03951869678220314,9344,18188,gnn-mappo,44,sage,8,12.612658642858902,0.005156355376097021,0.0002930286886446425,17.59675955261214
0.4990956469769918,0.030058477721038437,9344,18188,gnn-mappo,44,sage,9,16.604155792881897,0.0051631812051745885,0.00022288175032170315,23.165562894773366
0.4945076881463498,0.07390601557575384,9344,18188,gnn-mappo,44,sage,10,6.691034339951371,0.005115718433363281,0.0005480085273678989,9.335107353044718
0.4780767488203404,0.14643291789801025,9344,18188,gnn-mappo,44,sage,11,3.264817471938368,0.0049457391565948606,0.0010857910153906241,4.554964156537602
0.4979025185103632,0.045750568725798926,9344,18188,gnn-mappo,44,sage,12,10.882979870577959,0.005150838203364076,0.0003392376330715646,15.18356957253463
0.4987145193704436,0.03583008009080464,9344,18188,gnn-mappo,44,sage,13,13.918878163446603,0.005159238412030985,0.00026567782437019095,19.41915334582908
0.4990709418904498,0.03046665677475739,9344,18188,gnn-mappo,44,sage,14,16.380889625669273,0.005162925629235831,0.00022590837272027728,22.85406940462819
0.47383336400310444,0.15963068322730534,9344,18188,gnn-mappo,45,sage,0,2.9683100668584603,0.004901841028315482,0.0011836516277685272,4.141286940614994
0.24489341334520626,0.43592112919264475,9344,18188,gnn-mappo,45,sage,1,0.5617837653310481,0.00253344038705533,0.003232328169721876,0.7837819225123168
0.4752556267697283,0.15534514756915732,9344,18188,gnn-mappo,45,sage,2,3.059352893904534,0.0049165544413254545,0.0011518746463319203,4.268306848303281
0.4237494283009607,0.26539862783408724,9344,18188,gnn-mappo,45,sage,3,1.5966526720924334,0.004383719026922025,0.0019679143852064673,2.2275964136834636
0.41162742621753595,0.2838359976470265,9344,18188,gnn-mappo,45,sage,4,1.450229814505166,0.0042583160230983685,0.002104626340262003,2.023312139373992
0.09275569151960507,0.49132107525993374,9344,18188,gnn-mappo,45,sage,5,0.1887883426749659,0.0009595644562876235,0.003643115338047536,0.2633911823395318
0.025119217013256482,0.49936862689866823,9344,18188,gnn-mappo,45,sage,6,0.05030195262617823,0.00025986014896564813,0.0037027874349411863,0.07017960213256899
0.045659792871360655,0.4979107715200617,9344,18188,gnn-mappo,45,sage,7,0.0917027617859457,0.0004723539181587812,0.003691977527616029,0.1279406265681655
0.4894393897564919,0.10222067992032752,9344,18188,gnn-mappo,45,sage,8,4.788066271306051,0.005063286513455278,0.0007579600095240644,6.680149941729246
0.416551220706322,0.2765593852708306,9344,18188,gnn-mappo,45,sage,9,1.5061908685485375,0.0043092530395132085,0.0020506707102440546,2.101387130555132
0.020611164551569756,0.49957499244354875,9344,18188,gnn-mappo,45,sage,10,0.04125739851539664,0.00021322401442289393,0.003704317622673111,0.057560942700433756
0.2034735490680647,0.4567257851340171,9344,18188,gnn-mappo,45,sage,11,0.44550484271072943,0.002104948842294415,0.0033865934047776214,0.6215534582110943
0.488730862799928,0.10555615785466298,9344,18188,gnn-mappo,45,sage,12,4.630055439047398,0.005055956749936705,0.0007826923717901607,6.4596985126772175
0.442860513700601,0.23210893016677536,9344,18188,gnn-mappo,45,sage,13,1.9079856745813095,0.0045814246121010874,0.001721073339141861,2.661957807321225
0.07215975887641615,0.4947655972989954,9344,18188,gnn-mappo,45,sage,14,0.14584635486045883,0.0007464980170781124,0.003668656255595413,0.20347995698412955
0.4807651918999845,0.13734924358484799,9344,18188,gnn-mappo,46,sage,0,3.500311900902389,0.004973551298143433,0.001018436133048966,4.883518108547222
0.4938154033816308,0.07839861910805529,9344,18188,gnn-mappo,46,sage,1,6.298776802446159,0.005108556696514892,0.0005813209042644831,8.787842754387954
0.46136241861284427,0.1927296222864824,9344,18188,gnn-mappo,46,sage,2,2.3938324225377943,0.004772828180297758,0.0014290782105704028,3.339794942638395
0.4879460698315377,0.10912675673492203,9344,18188,gnn-mappo,46,sage,3,4.471369666165368,0.005047838008912036,0.0008091681413056555,6.2383054290384665
0.49345151342148913,0.08065737258351857,9344,18188,gnn-mappo,46,sage,4,6.117872397969983,0.005104792228092185,0.0005980694213660037,8.535450978972854
0.1960566460104296,0.45995846224323556,9344,18188,gnn-mappo,46,sage,5,0.4262485900449654,0.0020282204342232687,0.0034105635052934973,0.5946877784493063
0.0947335880505608,0.49094354083387287,9344,18188,gnn-mappo,46,sage,6,0.19296228623286252,0.000980025941488438,0.0036403159436647573,0.2692145288086814
0.4843127408700246,0.1242626122609668,9344,18188,gnn-mappo,46,sage,7,3.89749363913989,0.005010250953364813,0.0009213995724369835,5.437652787393143
0.4956610235074022,0.06572800667682056,9344,18188,gnn-mappo,46,sage,8,7.541093189460749,0.005127649772567535,0.0004873690979710817,10.521081032658715
0.4928222654454715,0.08441691915600923,9344,18188,gnn-mappo,46,sage,9,5.837956068198799,0.005098282611462893,0.0006259462263149846,8.144921076490952
0.49333308127945613,0.08137848682973109,9344,18188,gnn-mappo,46,sage,10,6.062205141656925,0.005103567038865356,0.0006034164388320701,8.457785884560018
0.4925223027346589,0.08614978091391633,9344,18188,gnn-mappo,46,sage,11,5.717046491700348,0.005095179475140023,0.0006387952889073178,7.976232078754854
0.49351543771720746,0.08026541445195808,9344,18188,gnn-mappo,46,sage,12,6.148544065795553,0.0051054535296367,0.0005951630761004254,8.578243064217288
0.49220482631586976,0.08794545890930922,9344,18188,gnn-mappo,46,sage,13,5.596705417427401,0.005091895158218994,0.000652110130009441,7.8083362363122255
0.3909317874205198,0.3117247450534843,9344,18188,gnn-mappo,46,sage,14,1.2540928932460769,0.004044218116388392,0.002311419674705569,1.749668465941196
9.186708185337073,3.9502399424894756,19392,18188,gnn-madqn,42,gat,0,2.3256076387976394,0.06597032445635548,0.02929078447497446,2.2522552959521924
9.222545490518577,3.8658331780094897,19392,18188,gnn-madqn,42,gat,1,2.3856553208194176,0.06622767438004618,0.028664913544953152,2.310409004938599
9.464374912378476,3.2288708073777648,19392,18188,gnn-madqn,42,gat,2,2.931171755386738,0.06796426654138792,0.023941877023509656,2.838719223002048
9.423160550732993,3.3472403685360144,19392,18188,gnn-madqn,42,gat,3,2.815202827771347,0.06766830363986093,0.024819579987066492,2.726408088900898
9.566471958846794,2.912492057120777,19392,18188,gnn-madqn,42,gat,4,3.284634523022181,0.06869743179989704,0.021595948188513604,3.181033367936845
9.399744077655994,3.4124517873193696,19392,18188,gnn-madqn,42,gat,5,2.7545426759098346,0.06750014848620331,0.02530311861780769,2.6676612280787566
8.497606576356018,5.271686879110152,19392,18188,gnn-madqn,42,gat,6,1.611933100584759,0.06102184282281061,0.039089231652661205,1.561090874464815
9.185051646291727,3.9540914112883208,19392,18188,gnn-madqn,42,gat,7,2.322923445843923,0.06595842874615206,0.029319342877537714,2.2496557655350613
9.736782273866329,2.2792699633063074,19392,18188,gnn-madqn,42,gat,8,4.271886363009917,0.06992044079435228,0.01690064558797769,4.13714614807912
9.674636774807697,2.5301001125967124,19392,18188,gnn-madqn,42,gat,9,3.8238157955253187,0.06947417008958083,0.01876053560723074,3.7032082422425026
9.624455325399857,2.7147462649417826,19392,18188,gnn-madqn,42,gat,10,3.5452504161033453,0.0691138139715527,0.020129675388918106,3.4334291356532054
9.714318310874232,2.3731895931038114,19392,18188,gnn-madqn,42,gat,11,4.0933595609481905,0.06975912567502265,0.01759705382505161,3.964250286926543
9.761705257721731,2.170051638723903,19392,18188,gnn-madqn,42,gat,12,4.498374639352865,0.0700994142958711,0.016090798476755146,4.3564907233868535
9.761880649117925,2.16926203513636,19392,18188,gnn-madqn,42,gat,13,4.500092884585192,0.07010067379242639,0.0160849436150657,4.358154773186008
9.632523473335498,2.685980622643971,19392,18188,gnn-madqn,42,gat,14,3.5862222504991976,0.06917175184509107,0.01991637993317462,3.4731086712134878
9.595641025903127,2.8149012591332507,19392,18188,gnn-madqn,42,gat,15,3.4088730447538915,0.0689068966897111,0.020872318466722085,3.301353263633518
9.452458545676024,3.2635916124006856,19392,18188,gnn-madqn,42,gat,16,2.896336205105893,0.06787869436887063,0.024199329641965805,2.8049824260899063
9.808970850185933,1.9452733602541488,19392,18188,gnn-madqn,42,gat,17,5.042463979923314,0.0704388314633242,0.014424081465847671,4.88341885964138
8.897203100245896,4.56506221759162,19392,18188,gnn-madqn,42,gat,18,1.948977401876414,0.06389137038380605,0.033849653559539776,1.8875044103900342
7.084082863572827,7.058027978306833,19392,18188,gnn-madqn,42,gat,19,1.0036915247922047,0.05087124087946197,0.05233484024786576,0.9720339383578517
8.696304685106707,4.937030709531013,19392,18188,gnn-madqn,42,gat,20,1.761444316787084,0.06244870633460357,0.03660777688559064,1.7058863347472024
8.000065906520922,5.9999112610822305,19392,18188,gnn-madqn,42,gat,21,1.3333640379671072,0.057448972240979945,0.044488970334945685,1.2913082008520727
9.894029547301809,1.4519540170753635,19392,18188,gnn-madqn,42,gat,22,6.81428573559865,0.07104964327244703,0.01076614909496505,6.599355316904766
9.02598994346405,4.304822072943885,19392,18188,gnn-madqn,42,gat,23,2.096716145411222,0.0648161967374255,0.031919989007616605,2.030583303833825
9.806241594858102,1.9589852928527993,19392,18188,gnn-madqn,42,gat,24,5.005776016101493,0.07041923251059067,0.014525754596677628,4.8478880764443835
9.740066741970287,2.2651939590793155,19392,18188,gnn-madqn,42,gat,25,4.299882004775045,0.06994402676465997,0.01679627288857609,4.164258775066228
