algo,seed,backbone,stage,rel_spread,eff_rank,cos_raw,n_cols_nonconst,n_cols_varying,relstd_ch_gain,relstd_sinr_embb,relstd_sinr_urllc,relstd_q_embb,relstd_urllc_backlog,relstd_viol_ewma,relstd_prev_alloc_lag2,relstd_prev_alloc
gnn-madqn_sage,45,sage,conv2,0.04232663556347848,2.251006450290078,0.998514892625448,,,,,,,,,,
gnn-madqn_sage,46,sage,input,0.41107801695999574,3.4010209499521142,0.8115934125486696,6.0,6.0,0.056637930451150405,0.8493915183987032,0.9984162420767653,1.2287661071242915,1.224782609540694,2.0,0.0,0.0
gnn-madqn_sage,46,sage,conv1_pre,0.09526092668817583,2.6776305658181547,0.993173699144385,,,,,,,,,,
gnn-madqn_sage,46,sage,conv1_act,0.07235029556520817,2.6548031228534907,0.9974202295579818,,,,,,,,,,
gnn-madqn_sage,46,sage,conv2,0.25563506718598356,1.3688913790295054,0.9463519529935944,,,,,,,,,,
gnn-mappo_gat,42,gat,input,0.2830930184076602,1.9546623846895403,0.9097692333905153,6.0,5.0,0.056637930451150405,1.2108601679130748,0.5623891123326162,1.9999999999999996,0.001948850175423327,0.07007640017242461,0.0,0.0
gnn-mappo_gat,42,gat,conv1_pre,0.004115223819138464,2.8700272622951597,0.9999810054894048,,,,,,,,,,
gnn-mappo_gat,42,gat,conv1_act,0.004017817144883974,2.8686805547589596,0.9999819603968303,,,,,,,,,,
gnn-mappo_gat,42,gat,conv2,0.00017604840566531793,1.774747262369681,0.9999999962513721,,,,,,,,,,
gnn-mappo_gat,43,gat,input,0.11229666929904229,1.9881744890946262,0.9843566494229302,6.0,4.0,0.056637930451150405,1.2817286561601033,0.013079782590982506,2.0,0.002900662719274313,0.0009095657731790931,0.0,0.0
gnn-mappo_gat,43,gat,conv1_pre,0.001424520983355032,2.5237318205039196,0.9999976824817525,,,,,,,,,,
gnn-mappo_gat,43,gat,conv1_act,0.0014383206372095413,2.5192159185746332,0.9999976548405876,,,,,,,,,,
gnn-mappo_gat,43,gat,conv2,4.8339748095488015e-05,1.9708914376105207,0.9999999993762272,,,,,,,,,,
gnn-mappo_gat,44,gat,input,0.11228934056414681,1.9811496826475667,0.9843601693582379,5.0,4.0,0.056637930451150405,1.2817286561601033,0.013079782590982506,2.0,0.002900662719274313,0.0,0.0,0.0
gnn-mappo_gat,44,gat,conv1_pre,0.0003107022293820796,2.9379466021360385,0.9999998816626292,,,,,,,,,,
gnn-mappo_gat,44,gat,conv1_act,0.0003111338045199081,2.9432397501129213,0.9999998807604482,,,,,,,,,,
