algo,family,backbone,algo_family,n_rows,final_step,steps_per_row,budget_target,reward_per_step_final_mean,reward_per_step_final_std,reward_per_episode_equiv,peak_ma_reward_per_step,peak_step,final_ma_reward_per_step,degradation,trend_label,slope_last25pct,convergence_step,embb_mbps_mean,spectral_eff_bps_hz,embb_p5_mbps,urllc_delay_ms_mean,urllc_delay_p95,urllc_delay_p99,urllc_drop_late_pct,urllc_drop_overflow_pct,sla_satisfaction_pct,timely_throughput_mbps,jains_fairness,lam_final,flag_urllc_starving,flag_low_sla,flag_degraded
central-ppo_floorstatic,baseline,,ppo,1953,999935,512.0,1000000,1.107504834735577,0.3034538344631001,221.5009669471154,1.19051328125,436735,1.1000059314903847,0.09050734975961539,plateau,-2.0015021583281281e-07,19967,7.791289194871796,0.779128917948718,1.6033719794871795,0.7037185025641027,5.333333333333333,8.63076923076923,2.231964917948718,4.7733312461538455,92.99470389230768,29.634249302564104,0.6076514923076923,0.7648960820512821,False,False,True
central-ppo_floorstatic,baseline,,ppo,1953,999935,512.0,1000000,1.1186025881410255,0.31813343524315124,223.7205176282051,1.18957734375,435711,1.1122489072516026,0.07732843649839727,plateau,-1.8316581905091355e-07,19455,7.893552943589743,0.7893553025641026,1.4241543179487182,0.7834760769230769,5.815384615384615,8.76923076923077,2.351487369230769,5.1431147333333325,92.50539790769231,29.462967533333334,0.6091767846153847,0.7705327282051284,False,False,True
central-ppo_floorstatic,baseline,,ppo,1953,999935,512.0,1000000,1.1197952003205127,0.31646452293349153,223.95904006410254,1.1941849609375,436223,1.1127404427083334,0.08144451822916654,plateau,-1.9821730974434144e-07,17407,7.888655876923076,0.7888655692307692,1.6279787641025643,0.7790673538461539,5.728205128205128,8.507692307692308,2.3478716769230767,5.09613382051282,92.5559945025641,29.481495907692313,0.6035909948717949,0.7680065282051283,False,False,True
central-ppo_floorstatic,baseline,,ppo,1953,999935,512.0,1000000,1.1133222495993589,0.3191420242345821,222.66444991987177,1.1856671875,435199,1.1052516576522438,0.08041552984775624,plateau,-2.1697576055767043e-07,3071,7.862678092307693,0.7862677897435898,1.6098275025641025,0.777736041025641,5.666666666666667,8.58974358974359,2.3742069743589744,5.096621020512821,92.52917201538463,29.469531046153847,0.6085091128205128,0.7773819487179489,False,False,True
central-ppo,baseline,,ppo,1953,999935,512.0,1000000,1.1481175550881408,0.3086723842214744,229.62351101762818,1.2154103515625,436735,1.1414876402243588,0.07392271133814132,plateau,-1.4458576656801873e-07,19967,7.916753271794871,0.7916753435897436,1.5593214974358973,0.719467917948718,4.856410256410256,7.841025641025641,1.4329014410256409,3.473843046153846,95.09325551282052,30.301707302564104,0.5985342051282051,0.6625036512820512,False,False,True
central-ppo,baseline,,ppo,1953,999935,512.0,1000000,1.1388935697115388,0.3155710926989764,227.77871394230775,1.2042416015625,435711,1.1293849128605769,0.07485668870192308,plateau,-1.2001168526565915e-07,3583,7.869524605128205,0.7869524564102564,1.5056285282051285,0.6847753333333332,5.066666666666666,7.687179487179487,1.5137041948717949,3.603107748717949,94.88318812307695,30.241085230769226,0.6052881794871795,0.6752156410256411,False,False,True
central-ppo,baseline,,ppo,1953,999935,512.0,1000000,1.1401953786057692,0.31256894624950426,228.03907572115384,1.2200740234375,436223,1.1326141766826923,0.08745984675480778,plateau,-1.5179371756848393e-07,19455,7.874189220512821,0.7874189282051283,1.5563873435897435,0.7037041076923077,4.824358974358974,7.420512820512821,1.4470900923076921,3.4899193076923076,95.06299056410256,30.29399353333333,0.6035732256410257,0.6688827692307693,False,False,True
central-ppo,baseline,,ppo,1953,999935,512.0,1000000,1.1426584565304487,0.31842877334258896,228.53169130608975,1.212266015625,435199,1.1331320372596156,0.07913397836538438,plateau,-1.2576162236642615e-07,1535,7.887041271794874,0.7887041230769231,1.5153934051282052,0.6901190307692306,4.977692307692307,7.575948717948718,1.5026113282051285,3.582528994871794,94.91485967179489,30.24814514871795,0.6031647794871795,0.6702604512820513,False,False,True
gnn-madqn_gat,proposed,gat,dqn,1000,199999,200.0,200000,0.87880724,0.4206102142284141,175.761448,1.228607,77399,0.98592577,0.24268122999999997,degrading,-1.2100497211155415e-06,1799,6.40386978,0.6403870399999999,3.8159999999999994e-05,0.7052481800000001,4.1245,5.2761000000000005,2.59057466,4.581041779999999,92.82838356,29.54344243,0.75867872,0.93585314,False,False,True
gnn-madqn_gat,proposed,gat,dqn,1000,199999,200.0,200000,0.990214895,0.4180286127573105,198.042979,1.173696,3599,1.0713349849999998,0.10236101500000028,improving,1.3551567321077122e-06,1799,7.102562550000001,0.7102562599999999,0.07649071,0.8338234299999999,4.45,5.43,2.5143493,4.52430105,92.96134963000003,29.569992919999994,0.6827383900000001,0.9333859300000004,False,False,True
