algo,seed,backbone,readout,embb_p5_mbps_normal,embb_p5_mbps_d2a,embb_p5_mbps_d2b,timely_throughput_mbps_normal,timely_throughput_mbps_d2a,timely_throughput_mbps_d2b,sla_satisfaction_pct_normal,sla_satisfaction_pct_d2a,sla_satisfaction_pct_d2b,cos_embedding,cos_obs_reference
gnn-mappo_gat,60,gat,sampled,1.6086904118749998,1.6091923546874998,1.6086904118749998,70.14577210973914,70.13236268723576,70.14577210973914,92.20453587472518,92.18969478426514,92.20453587472518,0.9999998807907104,0.8274042320677013
gnn-mappo_gat,61,gat,sampled,6.175769163370133e-06,6.383252756595611e-06,6.184093381166458e-06,71.39527653637825,70.58013594774158,71.3865615628769,93.97385802182181,92.88059050535367,93.96203475509877,1.0,0.8588130624645082
gnn-mappo_sage,42,sage,sampled,2.854255394041538e-06,3.323601915836334e-06,,72.19241989398651,72.17888453271146,,94.82356035437442,95.01609358061215,,0.9998238682746887,0.9757285463752347
gnn-mappo_sage,43,sage,sampled,4.608101652860642e-06,5.333364824056626e-06,,71.98821113963805,71.31379930059042,,94.71604134907129,93.83965776304373,,0.9997183680534363,0.9843601693582379
gnn-mappo_sage,44,sage,sampled,5.956760848760606e-06,5.814045637845994e-06,,70.9257053249656,70.68653716494117,,93.30009875176987,93.01014817107554,,0.9994465708732605,0.978870590721779
gnn-mappo_sage,45,sage,sampled,3.74473935008049e-06,3.9499873164296156e-06,,71.83887801596691,71.80659364839357,,94.53325320452576,94.50090434267949,,0.9995642900466919,0.9839305984313468
gnn-mappo_sage,46,sage,sampled,4.6839584898948675e-06,5.582375141382217e-06,,70.96696974660755,70.67658613510855,,93.3857199885122,93.02615513855824,,0.9916974306106567,0.8806733386709901
gnn-mappo_sage,47,sage,sampled,4.644832412600518e-06,4.695936265587806e-06,,72.79457246583333,71.7223336996777,,95.84210646752283,94.47233553461903,,0.9996381998062134,0.9843601693582379
gnn-mappo_sage,48,sage,sampled,4.434414729177951e-06,4.312287735939025e-06,,71.85957622852587,71.43928062894159,,94.6203221947155,94.12694181895914,,0.999858021736145,0.9836254544537635
gnn-mappo_sage,49,sage,sampled,4.938088963031768e-06,6.132236921787263e-06,,71.07469864348855,70.87534567511675,,93.54693648587366,93.27110382544768,,0.998729407787323,0.9762699745171991
gnn-mappo_sage,50,sage,sampled,1.070321793562179,5.986499537229539e-06,,71.5715384257995,70.47130200293111,,94.16395844143804,92.70925451508916,,0.9994667172431946,0.9843601693582379
gnn-mappo_sage,51,sage,sampled,4.388408254384994e-06,5.801113938093185e-06,,71.19533857773635,70.63547452696268,,93.80429670956083,92.99483359025722,,0.9992104768753052,0.9843566494229302
gnn-mappo_sage,52,sage,sampled,4.944177730083465e-06,5.839420835971833e-06,,70.89097913819111,70.68483543448968,,93.25323113111678,93.0188748743858,,0.9677528142929077,0.8537915661010871
gnn-mappo_sage,53,sage,sampled,3.0989429518580437e-06,3.8612214720249175e-06,,71.68061025115463,71.07056912666236,,94.36388797942689,93.50120861904979,,0.9910170435905457,0.8437633240464344
gnn-mappo_sage,54,sage,sampled,3.6894730818271646e-06,5.6221500575542456e-06,,71.63763396761792,71.16214388081164,,94.29840282908935,93.73543465832603,,0.9996776580810547,0.9762414730224901
gnn-mappo_sage,55,sage,sampled,4.355155279636384e-06,5.761593821048738e-06,,71.20988317820057,70.55322658653937,,93.83082868219351,92.85451643343745,,0.9556881785392761,0.7980948886309402
gnn-mappo_sage,56,sage,sampled,3.0764171832799915e-06,5.3067418217658986e-06,,71.81314485367028,71.16542038320287,,94.38748116435136,93.64990495470065,,0.9995948672294617,0.9762414730224901
gnn-mappo_sage,57,sage,sampled,5.521798491477967e-06,6.053380025625229e-06,,70.66455393388178,70.69107408314684,,93.00438269927136,93.04287254202391,,0.9841094017028809,0.8365723964569645
gnn-mappo_sage,58,sage,sampled,4.247861349582673e-06,5.44361518740654e-06,,70.84949987470648,70.77613787688992,,93.24421681957597,93.15030533205604,,0.9607422947883606,0.8393296468198945
gnn-mappo_sage,59,sage,sampled,5.393639926910401e-06,5.723134815692902e-06,,71.53762236179618,71.10665076451485,,94.22567090756502,93.58927684157754,,0.9996321797370911,0.9843601693582379
gnn-mappo_sage,60,sage,sampled,4.303471833765507e-06,3.2006445035338405e-06,,71.98365908698524,71.99557952910995,,94.95754285751373,94.78429996310102,,0.9998366236686707,0.9841496897812894
gnn-mappo_sage,61,sage,sampled,5.552513922452926e-06,6.124728914499282e-06,,70.59622651270239,70.48735406912624,,92.82427942673351,92.72113902153322,,0.9932740926742554,0.844827070427861
