step,episode,ep_reward,loss
180735,903,-307.5082,169.444565
181247,906,24.8111,38.459034
181759,908,-148.1168,155.978806
182271,911,7.0834,5.002162
182783,913,68.0661,2.254981
183295,916,80.5092,3.692976
183807,919,47.4166,1.310349
184319,921,-280.0805,207.748993
184831,924,96.7681,7.08117
185343,926,114.667,8.651612
185855,929,124.7384,15.759777
186367,931,-206.7131,86.008926
186879,934,-354.4118,198.26004
187391,936,80.2301,2.586001
187903,939,-386.1772,196.082382
188415,942,143.9323,10.130626
188927,944,-142.4484,80.707054
189439,947,144.9332,79.81282
189951,949,96.3984,3.737534
190463,952,56.9508,3.047575
190975,954,126.9344,8.942817
191487,957,196.2117,24.324411
191999,960,89.7377,10.762313
192511,962,100.6144,8.695457
193023,965,31.8405,0.483269
193535,967,-321.1266,203.767487
194047,970,-340.1598,200.295273
194559,972,241.7826,23.546049
195071,975,53.9981,3.861783
195583,977,-173.3755,71.342285
196095,980,130.7191,10.948206
196607,983,21.1353,3.442736
197119,985,119.0895,9.292546
197631,988,113.0396,5.842581
198143,990,109.0547,4.200194
198655,993,103.3899,5.681203
199167,995,94.7443,10.070762
199679,998,-339.0739,176.609467
200191,1000,118.4904,10.3245
200703,1003,40.8866,1.704156
201215,1006,149.8848,19.428928
201727,1008,-357.5376,191.822601
202239,1011,53.4838,7.796549
202751,1013,66.8785,1.375891
203263,1016,160.5693,18.096815
203775,1018,-261.6391,183.600037
204287,1021,-393.1277,214.784897
204799,1024,111.6132,3.949642
205311,1026,-348.5354,204.632172
205823,1029,98.7796,20.876429
206335,1031,-454.6487,198.782562
206847,1034,28.4512,38.390705
207359,1036,-251.0032,131.849457
207871,1039,65.3152,11.756717
208383,1041,244.2571,39.345573
208895,1044,190.6849,13.302792
209407,1047,-157.4867,123.895546
209919,1049,-317.4441,195.91658
210431,1052,104.2115,6.855859
210943,1054,42.5071,2.050092
211455,1057,-136.5533,49.614197
211967,1059,-53.5972,22.353275
212479,1062,-63.1242,70.514099
212991,1064,-123.671,116.940079
213503,1067,81.7877,25.694639
214015,1070,1.0717,18.298433
214527,1072,145.3181,7.405437
215039,1075,208.7578,17.472166
215551,1077,38.1916,1.902748
216063,1080,-355.3304,203.715958
216575,1082,133.6412,6.538809
217087,1085,-371.9736,203.905777
217599,1088,122.7202,9.648218
218111,1090,-49.2297,21.753124
218623,1093,115.4723,4.810922
