step,episode,ep_reward,loss
213503,1067,-7.6606,
214015,1070,-129.3082,
214527,1072,18.9799,
215039,1075,129.8355,
215551,1077,-139.2563,
216063,1080,-401.7461,
216575,1082,62.2304,
217087,1085,-396.5733,
217599,1088,27.0838,
218111,1090,-120.4266,
218623,1093,34.3925,
219135,1095,22.7983,
219647,1098,-229.3769,
220159,1100,58.7652,
220671,1103,-2.2484,
221183,1105,60.0221,
221695,1108,-205.057,
222207,1111,-228.9678,
222719,1113,-1.9526,
223231,1116,272.0835,
223743,1118,30.9165,
224255,1121,163.1973,
224767,1123,47.3204,
225279,1126,49.5351,
225791,1128,-36.1585,
226303,1131,78.5539,
226815,1134,-35.4002,
227327,1136,168.4944,
227839,1139,58.4444,
228351,1141,-29.7704,
228863,1144,-125.8396,
229375,1146,-198.1759,
229887,1149,59.7147,
230399,1152,-42.3791,
230911,1154,258.3938,
231423,1157,-50.7365,
231935,1159,-22.2361,
232447,1162,-357.4906,
232959,1164,29.3106,
233471,1167,81.2189,
233983,1169,94.9845,
234495,1172,-303.6217,
235007,1175,-41.4411,
235519,1177,64.5476,
236031,1180,159.6214,
236543,1182,-1009.0372,
237055,1185,-80.6279,
237567,1187,79.448,
238079,1190,-95.2771,
238591,1192,50.587,
239103,1195,-54.359,
239615,1198,75.7843,
240127,1200,-427.4707,
240639,1203,-227.9844,
241151,1205,87.6561,
241663,1208,66.4207,
242175,1210,-2.3931,
242687,1213,-367.2978,
243199,1216,184.2817,
243711,1218,-196.2202,
244223,1221,-594.3317,
244735,1223,-42.2988,
245247,1226,22.1559,
245759,1228,-188.6026,
246271,1231,-410.4717,
246783,1233,-5.3051,
247295,1236,-36.8538,
247807,1239,95.7488,
248319,1241,-114.4838,
248831,1244,63.9205,
249343,1246,21.1087,
249855,1249,-2.7216,
250367,1251,132.0941,
250879,1254,-320.4275,
251391,1256,97.0624,
251903,1259,321.2438,
252415,1262,-107.2502,
252927,1264,-312.7415,
253439,1267,-532.9434,
253951,1269,105.0349,
254463,1272,33.8475,
254975,1274,53.7579,
255487,1277,-49.1266,
255999,1280,-87.7867,
256511,1282,70.3326,
257023,1285,-20.9045,
257535,1287,-285.967,
258047,1290,-335.4289,
258559,1292,-667.0765,
259071,1295,-70.0215,
259583,1297,-4.9626,
260095,1300,61.1455,
260607,1303,-30.2484,
261119,1305,-76.9324,
261631,1308,42.7918,
262143,1310,-691.1599,
262655,1313,-453.3717,
263167,1315,43.559,
263679,1318,-408.884,
264191,1320,-48.2691,
264703,1323,19.9267,
265215,1326,70.5359,
265727,1328,33.3782,
266239,1331,85.8002,
266751,1333,-35.0101,
267263,1336,-179.286,
267775,1338,-561.9709,
268287,1341,-4.3304,
268799,1344,-68.7949,
269311,1346,-778.9242,
269823,1349,39.2318,
270335,1351,98.7966,
270847,1354,-338.8233,
271359,1356,41.0071,
271871,1359,125.1476,
272383,1361,-521.2274,
272895,1364,32.7697,
273407,1367,-385.3106,
273919,1369,-186.4169,
274431,1372,-233.871,
274943,1374,-24.3852,
275455,1377,-538.8209,
275967,1379,-175.9354,
276479,1382,-3.2395,
276991,1384,-190.8914,
277503,1387,102.9227,
278015,1390,10.3965,
278527,1392,-283.5671,
279039,1395,-39.2297,
279551,1397,-50.0666,
280063,1400,18.354,
280575,1402,-7.5294,
281087,1405,168.9638,
281599,1408,-283.5934,
282111,1410,-65.5878,
282623,1413,-98.2661,
283135,1415,-421.0466,
283647,1418,-402.1894,
284159,1420,60.2878,
284671,1423,-54.8113,
285183,1425,-104.0588,
285695,1428,-301.4639,
286207,1431,-351.165,
286719,1433,-415.4392,
287231,1436,-19.1331,
287743,1438,153.759,
288255,1441,6.8178,
288767,1443,-64.407,
289279,1446,-260.6674,
289791,1448,-108.8598,
290303,1451,50.0348,
290815,1454,112.7181,
291327,1456,-374.669,
291839,1459,-383.451,
292351,1461,107.0033,
292863,1464,-97.5171,
293375,1466,-271.6184,
293887,1469,-464.1064,
294399,1472,-178.7132,
294911,1474,-343.5262,
295423,1477,-541.6167,
295935,1479,-510.499,
296447,1482,-181.8825,
296959,1484,102.4353,
297471,1487,-311.85,
297983,1489,22.5373,
298495,1492,18.6717,
299007,1495,-486.7604,
299519,1497,127.7276,
300031,1500,57.084,
300543,1502,7.7059,
301055,1505,-460.123,
301567,1507,255.4471,
302079,1510,-23.7858,
302591,1512,-376.1999,
303103,1515,-408.7026,
303615,1518,-359.9305,
304127,1520,85.0133,
304639,1523,32.5063,
305151,1525,110.9103,
305663,1528,-344.3742,
306175,1530,51.1542,
306687,1533,-226.9302,
307199,1536,97.7425,
307711,1538,72.6126,
308223,1541,66.7674,
308735,1543,-113.3013,
309247,1546,-2.5726,
309759,1548,-332.7504,
310271,1551,100.2279,
310783,1553,-357.1499,
311295,1556,-471.0223,
311807,1559,124.8321,
312319,1561,110.753,
312831,1564,204.7415,
313343,1566,85.8524,
313855,1569,27.0911,
314367,1571,109.0595,
314879,1574,104.4064,
315391,1576,-10.3987,
315903,1579,-311.5272,
316415,1582,73.2543,
316927,1584,-317.8953,
317439,1587,-415.1654,
317951,1589,34.6761,
318463,1592,-429.5959,
318975,1594,-82.1937,
319487,1597,-34.719,
319999,1600,-515.6185,
320511,1602,-397.2057,
321023,1605,-47.5694,
321535,1607,-90.0862,
322047,1610,-15.0426,
322559,1612,-18.2029,
323071,1615,-14.6777,
323583,1617,-463.5503,
324095,1620,-130.5744,
324607,1623,-220.215,
325119,1625,160.8345,
325631,1628,32.846,
326143,1630,-21.5534,
326655,1633,74.9554,
327167,1635,-546.8088,
327679,1638,-263.0549,
328191,1640,-34.3899,
328703,1643,-44.2822,
329215,1646,-401.7296,
329727,1648,-296.5282,
330239,1651,-250.9893,
330751,1653,4.8235,
331263,1656,-1.1415,
331775,1658,133.568,
332287,1661,-389.4123,
332799,1664,61.987,
333311,1666,21.0891,
333823,1669,67.8136,
334335,1671,45.1218,
334847,1674,58.7237,
335359,1676,-129.762,
335871,1679,-221.7674,
336383,1681,-26.9607,
336895,1684,-180.0076,
337407,1687,31.5346,
337919,1689,-106.3848,
338431,1692,-24.3656,
338943,1694,133.2514,
339455,1697,-57.3829,
339967,1699,-181.395,
340479,1702,-425.6582,
340991,1704,91.9703,
341503,1707,133.7234,
342015,1710,-365.7769,
342527,1712,99.6616,
343039,1715,-130.5531,
343551,1717,-264.0064,
344063,1720,-453.8824,
344575,1722,11.0674,
345087,1725,-222.8925,
345599,1728,-190.3004,
346111,1730,-118.4941,
346623,1733,-346.6267,
347135,1735,-242.1943,
347647,1738,-144.336,
348159,1740,-39.2497,
348671,1743,-651.776,
349183,1745,-50.3639,
349695,1748,-2.5973,
350207,1751,-27.0788,
350719,1753,-367.4876,
351231,1756,-169.3239,
351743,1758,-39.9987,
352255,1761,33.5057,
352767,1763,33.3108,
353279,1766,-453.5936,
353791,1768,-625.6412,
354303,1771,198.9959,
354815,1774,9.0484,
355327,1776,-72.9526,
355839,1779,-3.3785,
356351,1781,44.7946,
356863,1784,96.0264,
357375,1786,-115.8431,
357887,1789,-33.2395,
358399,1792,34.5654,
358911,1794,24.3471,
359423,1797,113.4058,
359935,1799,91.5346,
360447,1802,-397.737,
360959,1804,1.0631,
361471,1807,36.2708,
361983,1809,22.4295,
362495,1812,-5.3862,
363007,1815,-473.3967,
363519,1817,64.5536,
364031,1820,56.4528,
364543,1822,-204.3828,
365055,1825,-11.9609,
365567,1827,160.5519,
366079,1830,18.8629,
366591,1832,106.1821,
367103,1835,-492.5507,
367615,1838,-164.8771,
368127,1840,-78.3181,
368639,1843,-424.4375,
369151,1845,-28.8176,
369663,1848,-146.4482,
370175,1850,-7.3076,
370687,1853,45.4876,
371199,1856,-28.9158,
371711,1858,96.0805,
372223,1861,58.6823,
372735,1863,-176.101,
373247,1866,-178.6327,
373759,1868,-289.3936,
374271,1871,57.577,
374783,1873,83.2704,
375295,1876,-223.1852,
375807,1879,-93.4549,
376319,1881,-297.5376,
376831,1884,22.0639,
377343,1886,-295.9007,
377855,1889,-222.7356,
378367,1891,14.2886,
378879,1894,-68.9226,
379391,1896,30.2356,
379903,1899,-272.9186,
380415,1902,-71.3985,
380927,1904,-405.6367,
381439,1907,-53.9162,
381951,1909,101.4088,
382463,1912,-289.0238,
382975,1914,-54.339,
383487,1917,-129.2737,
383999,1920,0.7365,
384511,1922,36.3946,
385023,1925,21.9957,
385535,1927,40.449,
386047,1930,36.5657,
386559,1932,40.584,
387071,1935,85.0407,
387583,1937,42.484,
388095,1940,93.114,
388607,1943,-78.8556,
389119,1945,-370.6517,
389631,1948,-122.1701,
390143,1950,-274.8784,
390655,1953,45.8419,
391167,1955,-355.5919,
391679,1958,145.4966,
392191,1960,81.22,
392703,1963,94.5577,
393215,1966,-353.161,
393727,1968,122.7816,
394239,1971,-158.6161,
394751,1973,-279.0981,
395263,1976,-57.2497,
395775,1978,-20.6675,
396287,1981,-641.1048,
396799,1984,-299.1522,
397311,1986,-487.2135,
397823,1989,-566.6991,
398335,1991,-404.3414,
398847,1994,-417.9614,
399359,1996,-243.0996,
399871,1999,1.0411,
400383,2001,55.1433,
400895,2004,-583.8625,
401407,2007,-1007.3486,
401919,2009,-148.1208,
402431,2012,28.5893,
402943,2014,43.1789,
403455,2017,-229.053,
403967,2019,-486.4253,
404479,2022,57.6534,
404991,2024,-228.9533,
405503,2027,-42.3436,
406015,2030,74.994,
406527,2032,94.0387,
407039,2035,-314.3766,
407551,2037,-52.8459,
408063,2040,142.9964,
408575,2042,-334.0924,
409087,2045,-11.4159,
409599,2048,-121.6928,
410111,2050,108.378,
410623,2053,184.8286,
411135,2055,-55.0642,
411647,2058,1.6671,
412159,2060,11.8749,
412671,2063,-178.7255,
413183,2065,-281.6246,
413695,2068,37.0821,
414207,2071,-11.7648,
414719,2073,-13.515,
415231,2076,-458.0356,
415743,2078,-176.7881,
416255,2081,-200.1315,
416767,2083,98.5629,
417279,2086,-183.1815,
417791,2088,58.5779,
418303,2091,2.9734,
418815,2094,-433.5423,
419327,2096,60.5567,
419839,2099,-396.0055,
420351,2101,34.6847,
420863,2104,24.2818,
421375,2106,161.2966,
421887,2109,-25.7233,
422399,2112,-15.3048,
422911,2114,-102.6752,
423423,2117,-425.1087,
423935,2119,-18.1834,
424447,2122,-338.5893,
424959,2124,-82.9679,
425471,2127,20.8809,
425983,2129,-294.5208,
426495,2132,-6.8845,
427007,2135,189.4734,
427519,2137,-110.6141,
428031,2140,42.5687,
428543,2142,-325.0461,
429055,2145,-325.1053,
429567,2147,-49.5066,
430079,2150,57.5691,
430591,2152,49.5952,
431103,2155,73.245,
431615,2158,-283.9753,
432127,2160,48.8333,
432639,2163,40.9406,
433151,2165,-335.4308,
433663,2168,-67.6986,
434175,2170,54.2848,
434687,2173,-208.6614,
435199,2176,-461.4692,
435711,2178,35.2342,
436223,2181,50.5384,
436735,2183,17.3952,
437247,2186,131.5582,
437759,2188,74.6312,
438271,2191,26.1854,
438783,2193,174.229,
439295,2196,9.9575,
439807,2199,114.684,
440319,2201,-135.862,
440831,2204,10.8642,
441343,2206,27.955,
441855,2209,-298.5221,
442367,2211,94.396,
442879,2214,11.4497,
443391,2216,-364.3562,
443903,2219,-429.8409,
444415,2222,-99.3828,
444927,2224,-580.8548,
445439,2227,-505.2929,
445951,2229,-415.2994,
446463,2232,-93.6029,
446975,2234,-376.4733,
447487,2237,146.009,
447999,2240,32.3365,
448511,2242,-195.7782,
449023,2245,-156.5397,
449535,2247,213.8863,
450047,2250,107.7953,
450559,2252,4.2174,
451071,2255,4.1115,
451583,2257,-330.7725,
452095,2260,-30.6939,
452607,2263,-83.5109,
453119,2265,36.9286,
453631,2268,-48.7843,
454143,2270,-265.2647,
454655,2273,-484.1115,
455167,2275,-55.6545,
455679,2278,-461.6449,
456191,2280,-54.0584,
456703,2283,-403.0161,
457215,2286,-363.4053,
457727,2288,-349.6542,
458239,2291,-110.5526,
458751,2293,75.3545,
459263,2296,-262.8379,
459775,2298,-326.6048,
460287,2301,38.3085,
460799,2304,95.1535,
461311,2306,77.0293,
461823,2309,94.4341,
462335,2311,6.7847,
462847,2314,54.1061,
463359,2316,117.3051,
463871,2319,-123.8738,
464383,2321,-107.6025,
464895,2324,-175.6655,
465407,2327,-85.3757,
465919,2329,48.9205,
466431,2332,-540.5641,
466943,2334,8.2638,
467455,2337,-95.7883,
467967,2339,-604.3746,
468479,2342,-55.3817,
468991,2344,153.7874,
469503,2347,-290.6214,
470015,2350,-497.2055,
470527,2352,-302.6872,
471039,2355,12.3068,
471551,2357,-320.8329,
472063,2360,-133.8352,
472575,2362,-367.2964,
473087,2365,19.7903,
