step,episode,ep_reward,loss
298495,1492,-389.3058,
299007,1495,-673.6238,
299519,1497,-293.224,
300031,1500,-442.0064,
300543,1502,-378.6625,
301055,1505,-681.804,
301567,1507,-225.0637,
302079,1510,-381.6354,
302591,1512,-614.0162,
303103,1515,-663.5762,
303615,1518,-629.313,
304127,1520,-326.1771,
304639,1523,-414.6745,
305151,1525,-393.5158,
305663,1528,-642.2616,
306175,1530,-377.1803,
306687,1533,-604.4734,
307199,1536,-229.3371,
307711,1538,-370.9891,
308223,1541,-369.1223,
308735,1543,-491.3598,
309247,1546,-394.171,
309759,1548,-619.6197,
310271,1551,-328.9473,
310783,1553,-631.6989,
311295,1556,-657.5374,
311807,1559,-285.875,
312319,1561,-300.7091,
312831,1564,-286.3974,
313343,1566,-372.4338,
313855,1569,-360.2695,
314367,1571,-342.0774,
314879,1574,-304.3707,
315391,1576,-397.7437,
315903,1579,-537.0846,
316415,1582,-348.1158,
316927,1584,-561.4819,
317439,1587,-646.6067,
317951,1589,-442.9753,
318463,1592,-677.004,
318975,1594,-501.9027,
319487,1597,-440.0677,
319999,1600,-738.3951,
320511,1602,-643.9562,
321023,1605,-434.5639,
321535,1607,-439.0425,
322047,1610,-360.1608,
322559,1612,-385.782,
323071,1615,-374.8098,
323583,1617,-743.1472,
324095,1620,-473.3692,
324607,1623,-546.1015,
325119,1625,-286.3238,
325631,1628,-409.1675,
326143,1630,-406.3151,
326655,1633,-360.3551,
327167,1635,-743.9347,
327679,1638,-493.1171,
328191,1640,-420.5716,
328703,1643,-440.9078,
329215,1646,-674.8581,
329727,1648,-566.7516,
330239,1651,-569.4844,
330751,1653,-376.0088,
331263,1656,-444.6792,
331775,1658,-290.1902,
332287,1661,-675.4676,
332799,1664,-401.5161,
333311,1666,-358.1801,
333823,1669,-343.0635,
334335,1671,-339.3254,
334847,1674,-376.6199,
335359,1676,-537.7771,
335871,1679,-537.0364,
336383,1681,-450.1097,
336895,1684,-508.9414,
337407,1687,-448.1241,
337919,1689,-445.3036,
338431,1692,-427.9235,
338943,1694,-332.8405,
339455,1697,-442.5227,
339967,1699,-517.73,
340479,1702,-668.7435,
340991,1704,-338.9998,
341503,1707,-331.8442,
342015,1710,-558.2758,
342527,1712,-286.2099,
343039,1715,-503.6377,
343551,1717,-564.7941,
344063,1720,-705.6995,
344575,1722,-402.9452,
345087,1725,-570.6136,
345599,1728,-516.2555,
346111,1730,-425.4437,
346623,1733,-616.9543,
347135,1735,-527.841,
347647,1738,-482.9661,
348159,1740,-420.0941,
348671,1743,-743.7915,
349183,1745,-478.4891,
349695,1748,-375.458,
350207,1751,-413.3739,
350719,1753,-659.9565,
351231,1756,-507.7511,
351743,1758,-404.3928,
352255,1761,-331.7681,
352767,1763,-336.4385,
353279,1766,-671.1965,
353791,1768,-786.9099,
354303,1771,-226.1567,
354815,1774,-378.4429,
355327,1776,-447.6635,
355839,1779,-371.1501,
356351,1781,-331.7762,
356863,1784,-344.0559,
357375,1786,-486.09,
357887,1789,-398.4582,
358399,1792,-358.3953,
358911,1794,-337.3465,
359423,1797,-381.2025,
359935,1799,-317.8231,
360447,1802,-653.9104,
360959,1804,-407.2753,
361471,1807,-401.2216,
361983,1809,-372.1317,
362495,1812,-405.2912,
363007,1815,-717.0586,
363519,1817,-352.7335,
364031,1820,-356.5539,
364543,1822,-498.3801,
365055,1825,-361.3472,
365567,1827,-298.3954,
366079,1830,-403.4332,
366591,1832,-335.257,
367103,1835,-692.9714,
367615,1838,-540.796,
368127,1840,-415.5284,
368639,1843,-641.2557,
369151,1845,-421.7953,
369663,1848,-456.4856,
370175,1850,-445.5418,
370687,1853,-381.9359,
371199,1856,-416.454,
371711,1858,-357.6004,
372223,1861,-350.2911,
372735,1863,-524.0334,
373247,1866,-492.8472,
373759,1868,-592.6386,
374271,1871,-373.0256,
374783,1873,-347.9743,
375295,1876,-530.3629,
375807,1879,-436.2263,
376319,1881,-527.5411,
376831,1884,-351.083,
377343,1886,-580.6913,
377855,1889,-556.7156,
378367,1891,-355.9414,
378879,1894,-425.6086,
379391,1896,-363.0087,
379903,1899,-560.7505,
380415,1902,-491.7377,
380927,1904,-656.4393,
381439,1907,-396.2953,
381951,1909,-311.2479,
382463,1912,-598.3914,
382975,1914,-440.5857,
383487,1917,-495.3151,
383999,1920,-400.0926,
384511,1922,-355.1638,
385023,1925,-354.9021,
385535,1927,-374.6505,
386047,1930,-339.5744,
386559,1932,-359.6006,
387071,1935,-368.1318,
387583,1937,-340.0907,
388095,1940,-339.0856,
388607,1943,-443.9049,
389119,1945,-626.2788,
389631,1948,-443.0655,
390143,1950,-572.4475,
390655,1953,-365.6831,
391167,1955,-598.065,
391679,1958,-219.9278,
392191,1960,-356.7615,
392703,1963,-337.2394,
393215,1966,-618.089,
393727,1968,-339.9507,
394239,1971,-494.8507,
394751,1973,-554.5194,
395263,1976,-394.4047,
